what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493494993612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495009341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495056739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495071658
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495082917
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495098532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495125307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495126759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495126772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495126786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495127215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495129678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495129700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495207487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495218962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495220071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495432786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495434926
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495443193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493495452637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495453436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495455197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495523899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495525059
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495550729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495576334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495585727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495588602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495603473
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495609075
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495642763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495648041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495654630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495664615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493495680488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493495708117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496188684
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496207644
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496220935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496226508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496272627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496279426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496292137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496295846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496297535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496310856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496316125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496364368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496387287
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496394000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496402907
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496498466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.maximizePart",1493496504713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496521071
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496529350
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496552454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496555616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496562872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496595325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496597499
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496624626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496640807
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496643376
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496651144
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496662136
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493496667868
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493496671934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496679963
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496699485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496702852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496707316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496723383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496731684
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496735116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496739033
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496755434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496783828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496790518
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496795709
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496813651
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496829903
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493496839259
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496850373
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496879333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496880723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496897178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493496968085
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496988650
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493496999119
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497027536
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497040584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497062174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497065913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493497085445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493497086758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497120252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497126437
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497135111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493497147096
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497163393
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493497173349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497191511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497192510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493497207919
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497221407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493497226355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493497235194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493497245837
